task,success,onnx_path,skipped,params,loss,epoch,hidden_dim,error
task022.json,False,,,,,,,Attempt failed
task046.json,True,.\task046.onnx,True,,,,,
task047.json,True,.\task047.onnx,True,,,,,
task048.json,True,.\task048.onnx,True,,,,,
task024.json,False,,,,,,,Attempt failed
task050.json,True,.\task050.onnx,True,,,,,
task025.json,False,,,,,,,Attempt failed
task052.json,True,.\task052.onnx,True,,,,,
task053.json,True,.\task053.onnx,True,,,,,
task031.json,False,,,,,,,Attempt failed
task033.json,False,,,,,,,Attempt failed
task056.json,True,.\task056.onnx,True,,,,,
task057.json,True,.\task057.onnx,True,,,,,
task058.json,False,,,,,,,Attempt failed
task059.json,True,.\task059.onnx,True,,,,,
task060.json,True,.\task060.onnx,True,,,,,
task061.json,True,.\task061.onnx,True,,,,,
task062.json,True,.\task062.onnx,True,,,,,
task063.json,True,.\task063.onnx,True,,,,,
task036.json,False,,,,,,,Attempt failed
task043.json,False,,,,,,,Attempt failed
task066.json,True,.\task066.onnx,True,,,,,
task067.json,True,.\task067.onnx,True,,,,,
task045.json,False,,,,,,,Attempt failed
task069.json,True,.\task069.onnx,True,,,,,
task070.json,True,.\task070.onnx,True,,,,,
task071.json,True,.\task071.onnx,True,,,,,
task072.json,True,.\task072.onnx,True,,,,,
task073.json,True,.\task073.onnx,True,,,,,
task074.json,True,.\task074.onnx,True,,,,,
task049.json,False,,,,,,,Attempt failed
task051.json,False,,,,,,,Attempt failed
task077.json,True,.\task077.onnx,True,,,,,
task078.json,True,.\task078.onnx,True,,,,,
task054.json,False,,,,,,,Attempt failed
task055.json,False,,,,,,,Attempt failed
task081.json,True,.\task081.onnx,True,,,,,
task082.json,True,.\task082.onnx,True,,,,,
task083.json,True,.\task083.onnx,True,,,,,
task064.json,False,,,,,,,Attempt failed
task068.json,False,,,,,,,Attempt failed
task086.json,True,.\task086.onnx,True,,,,,
task087.json,True,.\task087.onnx,True,,,,,
task065.json,False,,,,,,,Attempt failed
task075.json,False,,,,,,,Attempt failed
task090.json,True,.\task090.onnx,True,,,,,
task091.json,True,.\task091.onnx,True,,,,,
task076.json,False,,,,,,,Attempt failed
task084.json,False,,,,,,,Attempt failed
task079.json,False,,,,,,,Attempt failed
task095.json,True,.\task095.onnx,True,,,,,
task080.json,False,,,,,,,Attempt failed
task097.json,True,.\task097.onnx,True,,,,,
task098.json,True,.\task098.onnx,True,,,,,
task099.json,True,.\task099.onnx,True,,,,,
task100.json,True,.\task100.onnx,True,,,,,
task085.json,False,,,,,,,Attempt failed
task102.json,True,.\task102.onnx,True,,,,,
task103.json,True,.\task103.onnx,True,,,,,
task104.json,True,.\task104.onnx,True,,,,,
task105.json,True,.\task105.onnx,True,,,,,
task106.json,True,.\task106.onnx,True,,,,,
task088.json,False,,,,,,,Attempt failed
task089.json,False,,,,,,,Attempt failed
task093.json,False,,,,,,,Attempt failed
task110.json,True,.\task110.onnx,True,,,,,
task111.json,True,.\task111.onnx,True,,,,,
task092.json,False,,,,,,,Attempt failed
